#OTU ID	Fox-CI01-L-rep1	Fox-CI01-L-rep2	Fox-CI01-L-rep3	Fox-CI02-M-rep1	Fox-CI02-M-rep2	Fox-CI02-M-rep3	Fox-CI03-R-rep1	Fox-CI03-R-rep2	Fox-CI03-R-rep3	Fox-RO01-X-rep1	Fox-RO01-X-rep2	Fox-RO01-X-rep3	Fox-RO02-X-rep1	Fox-RO02-X-rep2	Fox-RO02-X-rep3	Fox-RO03-X-rep1	Fox-RO03-X-rep2	Fox-RO03-X-rep3	Fox-AD01-R-rep1	Fox-AD01-R-rep2	Fox-AD01-R-rep3	Fox-AD02-M-rep1	Fox-AD02-M-rep2	Fox-AD02-M-rep3	Fox-AD03-L-rep1	Fox-AD03-L-rep2	Fox-AD03-L-rep3	Fox-IA01-L-rep1	Fox-IA01-L-rep2	Fox-IA01-L-rep3	Fox-IA02-M-rep1	Fox-IA02-M-rep2	Fox-IA02-M-rep3	Fox-IA03-R-rep1	Fox-IA03-R-rep2	Fox-IA03-R-rep3	Fox-SB01-L-rep1	Fox-SB01-L-rep2	Fox-SB01-L-rep3	Fox-SB02-M-rep1	Fox-SB02-M-rep2	Fox-SB02-M-rep3	Fox-SB03-R-rep1	Fox-SB03-R-rep2	Fox-SB03-R-rep3	Fox-VP01-L-rep1	Fox-VP01-L-rep2	Fox-VP01-L-rep3	Fox-VP02-M-rep1	Fox-VP02-M-rep2	Fox-VP02-M-rep3	Fox-VP03-R-rep1	Fox-VP03-R-rep2	Fox-VP03-R-rep3
Aix sponsa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3916.0	7880.0	2419.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0
Ambloplites rupestris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blarina brevicauda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bos taurus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2221.0	2266.0	1371.0
Branta canadensis	1874.0	3880.0	3686.0	2757.0	3476.0	879.0	11025.0	706.0	1590.0	313.0	0.0	0.0	0.0	0.0	495.0	3191.0	0.0	3022.0	7468.0	1760.0	1724.0	425.0	99.0	1441.0	6001.0	1044.0	7510.0	1472.0	0.0	5262.0	0.0	0.0	0.0	10815.0	3529.0	4283.0	1755.0	1549.0	734.0	22277.0	2132.0	1719.0	0.0	26.0	874.0	17360.0	12328.0	7835.0	1405.0	512.0	1429.0	178.0	67.0	180.0
Bubulcus ibis	0.0	0.0	0.0	1004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Castor canadensis	0.0	342.0	0.0	0.0	405.0	0.0	0.0	0.0	0.0	29.0	19.0	0.0	0.0	98.0	0.0	0.0	2503.0	4732.0	1071.0	839.0	0.0	77.0	10.0	0.0	0.0	1070.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	534.0	173.0	0.0	0.0	0.0	0.0	451.0	0.0	361.0	771.0	0.0	24.0	638.0	0.0	0.0	0.0
Catostomus commersonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2181.0	0.0	0.0	0.0	0.0	394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Columba livia	0.0	0.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyprinus carpio	3314.0	4311.0	6211.0	20147.0	29892.0	4154.0	17936.0	9098.0	7214.0	4465.0	1935.0	6775.0	10183.0	1790.0	0.0	3098.0	1756.0	224.0	21763.0	28085.0	11775.0	8045.0	0.0	9142.0	12058.0	9442.0	25186.0	11068.0	1820.0	13523.0	10787.0	4725.0	0.0	10447.0	4497.0	7368.0	1877.0	1408.0	381.0	27980.0	5558.0	3523.0	1846.0	0.0	1270.0	9786.0	9631.0	1460.0	0.0	0.0	0.0	3270.0	3397.0	2236.0
