sampleID	site_code	bank	dam	sample_type	field_negative	extraction_negative	pcr_negative
Fox_VP01_L_rep1	VP	left	Aurora	upstream	Fox_N1	EB0728	neg1
Fox_VP01_L_rep2	VP	left	Aurora	upstream	Fox_N1	EB0728	neg3
Fox_VP01_L_rep3	VP	left	Aurora	upstream	Fox_N1	EB0728	neg3
Fox_VP02_M_rep1	VP	middle	Aurora	upstream	Fox_N1	EB0729	neg2
Fox_VP02_M_rep2	VP	middle	Aurora	upstream	Fox_N1	EB0729	neg2
Fox_VP02_M_rep3	VP	middle	Aurora	upstream	Fox_N1	EB0729	neg3
Fox_VP03_R_rep1	VP	right	Aurora	upstream	Fox_N1	EB0729	neg1
Fox_VP03_R_rep2	VP	right	Aurora	upstream	Fox_N1	EB0729	neg3
Fox_VP03_R_rep3	VP	right	Aurora	upstream	Fox_N1	EB0729	neg3
Fox_SB01_L_rep1	SB	left	Aurora	midstream	Fox_N1	EB0728	neg2
Fox_SB01_L_rep2	SB	left	Aurora	midstream	Fox_N1	EB0728	neg2
Fox_SB01_L_rep3	SB	left	Aurora	midstream	Fox_N1	EB0728	neg3
Fox_SB02_M_rep1	SB	middle	Aurora	midstream	Fox_N1	EB0728	neg1
Fox_SB02_M_rep2	SB	middle	Aurora	midstream	Fox_N1	EB0728	neg3
Fox_SB02_M_rep3	SB	middle	Aurora	midstream	Fox_N1	EB0728	neg3
Fox_SB03_R_rep1	SB	right	Aurora	midstream	Fox_N1	EB0729	neg2
Fox_SB03_R_rep2	SB	right	Aurora	midstream	Fox_N1	EB0729	neg2
Fox_SB03_R_rep3	SB	right	Aurora	midstream	Fox_N1	EB0729	neg3
Fox_IA01_L_rep1	IA	left	Aurora	downstream	Fox_N1	EB0729	neg2
Fox_IA01_L_rep2	IA	left	Aurora	downstream	Fox_N1	EB0729	neg2
Fox_IA01_L_rep3	IA	left	Aurora	downstream	Fox_N1	EB0729	neg3
Fox_IA02_M_rep1	IA	middle	Aurora	downstream	Fox_N1	EB0729	neg2
Fox_IA02_M_rep2	IA	middle	Aurora	downstream	Fox_N1	EB0729	neg2
Fox_IA02_M_rep3	IA	middle	Aurora	downstream	Fox_N1	EB0729	neg3
Fox_IA03_R_rep1	IA	right	Aurora	downstream	Fox_N1	EB0728	neg2
Fox_IA03_R_rep2	IA	right	Aurora	downstream	Fox_N1	EB0728	neg2
Fox_IA03_R_rep3	IA	right	Aurora	downstream	Fox_N1	EB0728	neg3
Fox_CI01_L_rep1	CI	left	Montgomery	upstream	Fox_N1	EB0729	neg2
